ko00010	Carbohydrate metabolism
ko00020	Carbohydrate metabolism
ko00030	Carbohydrate metabolism
ko00040	Carbohydrate metabolism
ko00051	Carbohydrate metabolism
ko00052	Carbohydrate metabolism
ko00053	Carbohydrate metabolism
ko00500	Carbohydrate metabolism
ko00520	Carbohydrate metabolism
ko00620	Carbohydrate metabolism
ko00630	Carbohydrate metabolism
ko00640	Carbohydrate metabolism
ko00650	Carbohydrate metabolism
ko00660	Carbohydrate metabolism
ko00562	Carbohydrate metabolism
ko00190	Energy metabolism
ko00195	Energy metabolism
ko00196	Energy metabolism
ko00710	Energy metabolism
ko00720	Energy metabolism
ko00680	Energy metabolism
ko00910	Energy metabolism
ko00920	Energy metabolism
ko00061	Lipid metabolism
ko00062	Lipid metabolism
ko00071	Lipid metabolism
ko00072	Lipid metabolism
ko00073	Lipid metabolism
ko00100	Lipid metabolism
ko00120	Lipid metabolism
ko00121	Lipid metabolism
ko00140	Lipid metabolism
ko00561	Lipid metabolism
ko00564	Lipid metabolism
ko00565	Lipid metabolism
ko00600	Lipid metabolism
ko00590	Lipid metabolism
ko00591	Lipid metabolism
ko00592	Lipid metabolism
ko01040	Lipid metabolism
ko00230	Nucleotide metabolism
ko00240	Nucleotide metabolism
ko00250	Amino acid metabolism
ko00260	Amino acid metabolism
ko00270	Amino acid metabolism
ko00280	Amino acid metabolism
ko00290	Amino acid metabolism
ko00300	Amino acid metabolism
ko00310	Amino acid metabolism
ko00220	Amino acid metabolism
ko00330	Amino acid metabolism
ko00340	Amino acid metabolism
ko00350	Amino acid metabolism
ko00360	Amino acid metabolism
ko00380	Amino acid metabolism
ko00400	Amino acid metabolism
ko00410	Metabolism of other amino acids
ko00430	Metabolism of other amino acids
ko00440	Metabolism of other amino acids
ko00450	Metabolism of other amino acids
ko00460	Metabolism of other amino acids
ko00471	Metabolism of other amino acids
ko00472	Metabolism of other amino acids
ko00473	Metabolism of other amino acids
ko00480	Metabolism of other amino acids
ko00510	Glycan biosynthesis and metabolism
ko00513	Glycan biosynthesis and metabolism
ko00512	Glycan biosynthesis and metabolism
ko00515	Glycan biosynthesis and metabolism
ko00514	Glycan biosynthesis and metabolism
ko00532	Glycan biosynthesis and metabolism
ko00534	Glycan biosynthesis and metabolism
ko00533	Glycan biosynthesis and metabolism
ko00531	Glycan biosynthesis and metabolism
ko00563	Glycan biosynthesis and metabolism
ko00601	Glycan biosynthesis and metabolism
ko00603	Glycan biosynthesis and metabolism
ko00604	Glycan biosynthesis and metabolism
ko00540	Glycan biosynthesis and metabolism
ko00550	Glycan biosynthesis and metabolism
ko00511	Glycan biosynthesis and metabolism
