ko00010	Metabolism
ko00020	Metabolism
ko00030	Metabolism
ko00040	Metabolism
ko00051	Metabolism
ko00052	Metabolism
ko00053	Metabolism
ko00500	Metabolism
ko00520	Metabolism
ko00620	Metabolism
ko00630	Metabolism
ko00640	Metabolism
ko00650	Metabolism
ko00660	Metabolism
ko00562	Metabolism
ko00190	Metabolism
ko00195	Metabolism
ko00196	Metabolism
ko00710	Metabolism
ko00720	Metabolism
ko00680	Metabolism
ko00910	Metabolism
ko00920	Metabolism
ko00061	Metabolism
ko00062	Metabolism
ko00071	Metabolism
ko00072	Metabolism
ko00073	Metabolism
ko00100	Metabolism
ko00120	Metabolism
ko00121	Metabolism
ko00140	Metabolism
ko00561	Metabolism
ko00564	Metabolism
ko00565	Metabolism
ko00600	Metabolism
ko00590	Metabolism
ko00591	Metabolism
ko00592	Metabolism
ko01040	Metabolism
ko00230	Metabolism
ko00240	Metabolism
ko00250	Metabolism
ko00260	Metabolism
ko00270	Metabolism
ko00280	Metabolism
ko00290	Metabolism
ko00300	Metabolism
ko00310	Metabolism
ko00220	Metabolism
ko00330	Metabolism
ko00340	Metabolism
ko00350	Metabolism
ko00360	Metabolism
ko00380	Metabolism
ko00400	Metabolism
ko00410	Metabolism
ko00430	Metabolism
ko00440	Metabolism
ko00450	Metabolism
ko00460	Metabolism
ko00471	Metabolism
ko00472	Metabolism
ko00473	Metabolism
ko00480	Metabolism
ko00510	Metabolism
ko00513	Metabolism
ko00512	Metabolism
ko00515	Metabolism
ko00514	Metabolism
ko00532	Metabolism
ko00534	Metabolism
ko00533	Metabolism
ko00531	Metabolism
ko00563	Metabolism
ko00601	Metabolism
ko00603	Metabolism
ko00604	Metabolism
ko00540	Metabolism
ko00550	Metabolism
ko00511	Metabolism
ko00571	Metabolism
ko00572	Metabolism
ko00730	Metabolism
ko00740	Metabolism
ko00750	Metabolism
ko00760	Metabolism
ko00770	Metabolism
ko00780	Metabolism
ko00785	Metabolism
ko00790	Metabolism
ko00670	Metabolism
