pathway	ENVGutDigesta1	ENVGutDigesta2	ENVGutDigesta3	ENVGutTissue1	ENVGutTissue2	ENVGutTissue3	LabGutDigesta1	LabGutDigesta2	LabGutDigesta3	LabGutTissue1	LabGutTissue2	LabGutTissue3
ko00943	22.7778	0.6667	18.4444	0	0	0	0	0	0	0	0	0
ko00960	8320.5577	9187.6908	7934.6723	0	3937.0669	0	15076.4669	24131.82	20642.7115	0	6484.7577	0
ko00965	2850.25	2664.5	2570.3125	2.5	4	8	1763.3125	2467.5125	2276	1.7075	173.875	1.7075
ko00970	24745.8206	27566.2888	24222.6215	15554.6933	20986.0642	15917.9091	42104.8979	67820.8673	54668.1752	24791.5809	33158.3082	24791.5809
ko00980	0	0	0	0	0	0	0	17604.7112	0	0	0	0
ko00983	23431.7681	25321.1944	21723.1738	0	5316.1994	0	43910.565	74750.5581	61485.22	6066.7763	8777.2912	6066.7763
ko00984	296	89.7	365.25	0	0	0	113.75	99	2.375	0	0	0
ko00997	1.7059	1.7059	0	0	0	0	70.7059	157.5176	379	0.0488	1.01	0.0488
ko00998	0	0	0	0	0	0	4708.4218	0	0	0	1545.5379	0
ko01040	3680.0212	4182.3162	3039.9838	1082.5625	1598.25	1170.625	10308.1731	17401.1881	15917.9819	1960.1863	2640.0994	1960.1863
ko01051	4182.8138	0	3795.5675	0	0	0	7892.7119	11519.4544	0	0	0	0
ko01053	1223.69	1302.0089	1060.4647	0.5263	2.8421	0	2022.2458	2556.5705	3130.6426	3.0347	51.6184	3.0347
ko01054	761.6104	759.4281	570.327	0	0	0	299.3411	0	0	0	1508.6256	0
ko01055	0	0	0	0	0	0	0	6020.8713	0	0	0	0
ko01057	4.4167	0	6.7778	0	0	0	2.9167	0.5833	0	0	0	0
ko01501	8887.257	9947.5211	7377.7186	2438.4402	3321.0241	2509.375	20186.3611	29773.3616	29237.7912	3944.6677	5416.0145	3944.6677
ko01502	0	0	15833.2636	0	0	0	0	48683.4345	0	0	19337.7018	0
ko01503	15143.3141	16974.1559	12610.1826	4050.3011	5769.1063	4294.8519	33796.4559	58746.9685	53167.3396	6991.8859	9492.7537	6991.8859
ko01524	0	0	0	2376.5961	0	2509.0435	0	0	0	0	0	0
ko02010	8839.7003	9912.635	7634.1102	2303.9745	3044.4945	2320.5194	24300.4445	32951.5819	31769.844	3597.2694	5020.3307	3597.2694
ko02020	8098.5869	10293.3607	7398.8676	3679.9269	5235.8513	3884.6935	26263.1415	40267.1245	38574.8956	6343.5521	8582.6025	6343.5521
ko02024	8945.2996	10286.7473	8291.6918	3025.0612	4020.6693	3058.8936	25325.1574	33584.9109	32254.9372	4760.1095	6543.9853	4760.1095
ko02025	5221.0416	7692.1491	4907.0087	0	0	2088.7111	25008.0276	38052.1807	38378.8349	3491.1802	4736.0802	3491.1802
ko02026	15979.8384	18579.9603	13728.2252	2633.2384	3484.9229	2660.0645	39951.3639	68304.1787	62295.3632	4109.2823	5822.4739	4109.2823
ko02030	24790.3438	40269.3223	27209.5423	33397.3077	49109.3846	36041.9231	109286.9392	188000.4208	164087.3531	60071.9992	79036.0769	60071.9992
ko02040	17908.4775	31407.106	20656.697	21768.75	31918.55	23488.8	98212.701	150261.73	144281.3495	39111.333	51577.4125	39111.333
ko02060	10478.3019	11990.3378	7640.0006	1138.5808	534.0303	661.1111	27818.7311	38443.0722	42942.195	37.3689	579.0508	37.3689
ko03008	1066.7083	1247.4354	991.1034	483.9685	650.9339	494.439	2330.7717	4725.2568	3549.0346	768.7151	1042.2922	768.7151
ko03010	23384.4079	26833.8999	23378.5013	14334.4294	19271.8206	14645.4306	40554.5189	67327.1207	53329.6394	22736.1824	30467.7472	22736.1824
ko03013	830.8066	976.101	789.5093	523.3439	735.1068	549.1831	1302.7479	2399.9132	1983.4824	879.0444	1164.4148	879.0444
ko03015	0	0	0.125	0	0	0	0	0	0	0	0	0
ko03018	13549.1985	14949.6595	12930.0488	6326.463	8618.912	6522.875	24455.7205	39998.5135	33226.502	10239.5185	13743.8075	10239.5185
ko03020	5043.695	5461.1492	4851.0892	3145.0596	4147.3635	3170.8846	8272.9069	13766.8946	10850.8188	4841.1208	6498.2519	4841.1208
ko03030	19100.5897	21645.9977	17706.7863	9996.6883	13380.345	10174.1333	35578.6337	57409.8503	48423.4247	15735.0133	21137.7577	15735.0133
ko03040	0	0.3355	0	0	0	0	0	0	0	0	0	0
ko03050	1.6	0	4.76	0	0	0	40.08	10.08	0	0	1.56	0
ko03060	25696.965	29018.3275	24791.826	14291.8615	19733.7885	14855.55	46413.2045	79838.7045	63306.6465	23600.1275	31524.6725	23600.1275
ko03070	19192.133	23944.1527	17485.9676	9004.0943	12675.1489	9466.8919	57142.4478	89673.0803	85101.6476	15309.5232	20589.8411	15309.5232
