sequence	16S_rRNA_Count	metadata_NSTI
298bba9eefc63f92ccdb222c83e9417b	1	0.23081500000000002
29f4c7190d24cdf5342f7e013e09dbaa	1	0.122526
2a198d717ea54e495dc1d733e8f00f21	1	0.06956
2aafe042035a330731fd0582d568c282	1	0.692312
2ad7a249b441aa7c1803732f5b99f295	1	0.230632
2b2e7d7b652f898a838625bdab1c805b	1	0.057250999999999996
2bbb28b70c3a3757e48663f4d0003ecc	1	0.029736000000000002
2c25e8fe4e52d08269dedcc449066fa6	1	0.162686
2c2716178d2698985b9da5f2dc0ee48a	1	0.211213
2d0df9d3bc43e4e8414b44370c346fcc	2	0.212631
2d3c04d28713ace92edc5d43396ecd4f	1	0.44068900000000005
2d49274566d3c62c2fa064a00cccd119	1	0.42876000000000003
2e2c49811ea8ecefaae9b3a5781c0a7c	1	0.283515
2e3b6f0ad88630a8ec428d46091f8044	1	0.122421
2e64ed9ecb8b93fadc7e778f0f03ebe8	1	0.24364299999999997
2e6a6c4d9a0803584e8eec74821304a2	1	6.678541
2e8a2fe5c11859a7d4c5ed5e049e043c	1	0.067602
2e963f0da10d842900a9cd332a95403c	2	0.329313
2ea48cf181115ad3d465254762d66404	1	0.515842
2f8894d53ad2d0dfd868f188a5ea63e1	1	0.13383399999999998
2fc2674f9afdfb782cfbea2981fb0a8e	3	0.045125
2fc2870333e023c31f77cde3aa49f30e	1	0.44149499999999997
30ffd95eadb2cec88e235a4eab4d8ade	1	0.6976140000000001
3221b279140c38653004069e596362ea	1	0.566272
32477f1be11e82123b031c2955c4e50d	1	0.21796999999999997
32636115025f884cf2a2624ee4c890bb	1	0.196996
327e3be7a921f46763e9307805211c9a	1	0.111517
32b2fb70fcc31967b0dc9bdf7cf5cc76	1	0.119932
32c70664021b10f88cb1e63cd1331bbe	1	0.0529
3313f356988d13722555662543d3364f	1	0.565051
33df2905435001411074b96f06d21f1b	1	0.628648
341b2becb4e430fc5f72caa1c4656772	1	0.468157
34239f14f57eed8a2971a240df604a06	1	0.011565
346dd1e1f1d4684b1eb49c6187e51e5b	1	0.049777999999999996
348b9ec4d7fdc1c133c1c85fe65bd39b	2	1.304958
34ab7ef3ba4054e118b7aa33e2a8dd6f	1	0.45931099999999997
34b7ea14140636d0f4745d748bf62852	1	0.011066
34b9c5d82337e8df68ba0518b0c40f75	2	0.051244000000000005
351414fbde6ac367fbb072c7339456a6	1	1.446359
3536ac248436e8c5e42bef59550f1a6c	3	0.0183
35410deaa3a7426c1fc1d78af5c1a481	4	0.127584
3547ad99fb85eccb45beb20ef8d9f744	1	0.045033
3562d3a0374b9f2ed190c1a7aa7dedb7	2	0.009164
35990c7f88e9e729494fd8f9debe063e	1	0.177611
35c0a7dc01a91c88f93ebd047285e787	1	0.502633
35c4e9ce5fbba407bf94a48774e48733	1	0.21796999999999997
36023733eef834ee1c00240904a1ff98	1	0.6105229999999999
36334bc0ec0eb6e0bc4b1cb3baf1d958	1	0.325574
3679631e2f2a3285f3be035d8d7cfc9a	1	0.265232
36b030a096e3fc48bc568b5ed78f0cf8	1	0.113499
36ddd2c07684ac8a13e1ea753c095e2d	1	0.110626
37039d713cf162569fff657df0aa3db7	1	0.547172
37606bf1978e58b4ced0a78d6a01a03f	1	0.114699
3775d3f6871c4de5574b54cfb75d71fa	1	0.822155
37b14a90bbc4c2e8646c584e3036e884	2	0.5397270000000001
37eae7925b39f9fa9b26181462760563	1	0.325574
38379288db02e084c195974a32fd0290	1	0.023155000000000002
390267d0cfabff398e94faa6201171f1	1	0.073766
3947f662165b80433b5e4724694196c7	4	0.027293
394eda29c886632f514dd94b58381186	1	0.030598
3aa88cb3895a519b518d91eb63378f11	1	0.26263600000000004
3abfc36a0e0cd4b3cd4cfcf2839dc2d8	1	0.380753
3af9cd4c36c0c73dda7439f986f6e2b0	1	0.3184
3b4e38f4dbc75b328141252e8993c920	1	0.468157
3b6e6ad35c7f36f09367b66832848029	1	0.13214700000000001
3bac14d2805bf995afe9d316a5777b1e	1	0.051966
3c18d8fe77fd4d0e6467db2985941519	1	0.156363
3c2a5cc0d15de7909da81ee17a0a4fee	10	8.204275
3c70bea706769627e524c02a8449f187	1	0.6707529999999999
3ce076d48c309e777cbb3bfafb9b722e	1	0.428287
3ce2ff40e2a8e3c19d63023ee24734e8	2	0.030931999999999998
3cf3c2c41dc63c196b8add9d3dd99b28	1	0.106228
3d050f6d888e2b6b36cecd94363b7bcd	1	0.27866199999999997
3d147b327ccb65d9992962e4518e4ee7	1	0.021583
3d20d937f3656712eb00fe3bab828662	1	0.079603
3daf1be9fe5fe47c51b69a4af98e35c7	1	0.034968
3e059a5bb93a3f2100ec49ccebc67c7c	1	0.029481999999999998
3e3e9668457840374f8047ea1cc5c9d5	1	0.179886
3e5829f60812a69e5ba024e3c0e1ef42	1	0.037004
3ec106005d6766f6aac4425a1e610ab8	1	0.40168400000000004
3ef2fbd5d51b758d3116367a9112ebd6	1	0.21290900000000001
3feea5619425837e5bff03adf2360738	1	0.329032
4025a2ac5fd063023c90e9aa6c6b15c6	1	0.20289000000000001
407fa78867bdde0dcd2b862f4ceefd53	1	0.66242
40a938774bf833262c66b2ac11e1b09c	1	0.01102
4178929e2e89d00e7e0bfc8f8c22abbe	1	0.154372
4199aba4ba5c9e17ae8abdd236535ad4	1	0.35707300000000003
42a08d50a93103e480b918db17b9098e	1	0.675521
42f0ce4edee67b6f66872ba58d1652a8	2	0.167426
430e70f3214827e8f8d2c38c669cebc4	1	0.6817310000000001
43d2c71a454710a99a26ab9c748cbbeb	1	0.04532
44fcfc83c1ff8a5e50a57c50dd9cda88	1	0.423862
45102b66ad393f817b468196bcff0381	1	0.286052
46368aeae0d2b176ebb57ed7e4fd3957	1	0.537201
479476342cdaaeee40e21b70717bf67f	1	0.44149499999999997
47a6c3d4b77e22e2363b6f567f6b6ff5	1	0.06253
481c7f8e2c1c3f5aa0ae749a609f3353	2	0.500851
488b42d00c6ade8080dd60a88af69e5b	1	0.616741
48a6a0e363dfb3823afdb092a0bb834d	1	0.094887
496778ff52fce3350fd02a26b7c1a7e0	1	0.447499
499f1c879aa937fd84ec658999d69c43	2	0.079479
49c5d957e3825683a92d63b57fff6e63	10	20.859081
4a0f44287c75ec50d4d7ee5d59be486d	1	0.505173
4a14a3c1c2a7b06c576e87e9c763531e	1	0.00015
4a4461f1bb5594eb2307da3b7398bd00	1	0.049876
4a9bd6b827996ba9bf1f8815a564beed	1	0.203775
4ab05a37758480373356e71caf26514c	1	0.48580500000000004
4af34e31f4f29f5372246db273985eb8	1	0.011119
4b23c03685f7f59ebac7fa17ad789062	2	0.403837
4b277e926183e6921c318df4b87f20e4	7	0.035233999999999994
4b2c75121038e65739dd69c90eff1a09	1	0.286494
4b3c7184a1cd7e87636a227eb632b23f	1	0.180584
4c4095adf81f471e477f3080885d7eaa	1	0.33574
4caf98b02527df3ee283cff80058c4b2	10	6.30135
4d5e283e281edd61f721ca2ad8cbc2c8	1	0.559371
4d8d705dbc4b78fb415505c2701c4941	1	0.176697
4dcf54be416cf4fc763c2191ce2f83d0	1	0.26995399999999997
4e2454f5cac15f25f7da0ed0c88139a2	1	0.319914
4e29e762f594bbd505e08720d0f19b22	1	0.401217
4e612f01b81695602b229b436f7738ca	1	0.075477
4e8cc442d89b253991dd0be8426ba5d9	1	0.352286
4ee16f924a58f3d50a57e9b5c692f1c8	1	0.098142
4f063a013faff563f3b7c3690ce38d2e	1	0.590939
4f12edd022aa9956691032c589d91ac5	1	0.249477
4f69b6882fb15101f29c0bfc99460819	2	0.288514
4f6c824ca4242dbea96ce73e1a822844	1	0.501151
4fb93d774873d89d059a96fc9409f906	1	0.532632
4fbe4feb053fdf4b2e54a2e88261632e	1	0.226751
4ffc84301e7cdc97ffe3d308b92805c4	1	0.570679
50023f3556dcd9f226f7fab006ced822	1	0.23125700000000002
507168edf1892b56cf7307c0b131b77f	2	0.37529
51090ea69fba03d1cd2c9882c37aeb62	1	0.482396
5249a8f58692a99d995566664c8d4fe2	1	0.10361
5288d7bb397197ac423fdc60fa9c15be	1	0.044821
528bf22a118744b29d511026d15eb490	1	0.685998
5292f29cab69c370997bcb039ef68d64	1	0.14365999999999998
52ac1b4cffa20678d64627cf12dc0886	4	0.371413
52df00f92acab3e7b320a67ae6866d36	1	0.033014
532ed4e41c0fc5c8b1be5b83505b48da	1	0.13231199999999999
53876a5d233695e55bbb1f3448698cc1	1	0.123859
5392c911d92ab4164e538d1439d1e6db	2	0.42862
539a9f3b45bfea12b60e6b356d2dd12c	1	0.077702
53dc7bde3e6be2391ee9854be79b0eba	1	0.203809
53fe32240fc2859c9d8ce230b4212b69	1	0.156401
5423e751b89a2432c953d9ef6fdcda42	1	0.44068900000000005
5448cb1cbadfdd76567167502cddb0a8	1	0.14011300000000002
545004eee5007cef8297d93aa22d5975	1	0.424087
549482182dc3ab964cef7ea4ca4f82a6	2	0.250327
54a644963177b0d2877667ce02d4dc65	2	0.236092
54bae818f5eedb1d62b8765ad2ce8910	1	0.7639630000000001
54c6ebf7aa3c0c084bd639bf21933f92	1	0.237504
54fd06bbf572d2ede42a9f540a50bb64	1	0.033951999999999996
554d4400b34f2ed3111f7f741a53a7e5	1	0.17213399999999998
5595f1ec116d3730c8964978cd2c79ca	2	0.04337
568b15ecfbae53338977ed2dcaa6c810	1	0.706616
571a9a6ddede3d56965e582794aac07c	1	0.266023
572f06c3cc65f3e95ef57f05acfea074	1	0.347695
57612183ef1bc4afefcfa363329e1611	1	0.12001400000000001
578ad1130f01ff55783a3eabcb8c1a8f	1	0.035824
5803a20c82890451d579a5f40c502cfc	2	0.18160199999999999
580b9c1004db703b981c7d7c213c4812	1	0.609082
5870d0b2749e0781da7a0202d1e13ba9	1	0.65818
5872bf9b7c94bb15a69201327c0b1ad6	1	0.318129
5910f0902e6486f369f963096dfc5b54	1	0.319538
592ae05cee1967d9d4af52cfefa21bb2	1	0.117302
5969ce367ed9e7ac0ac3d33a96ea1616	1	0.288555
5a0985c47244e81d35870049bdf05ad3	1	0.603831
5a6209d60845887a71603f69b68da126	1	0.37595100000000004
5a7b6d4818e3a601650c83ac7eb44211	2	0.208529
5a7bc750ea80993e0aa836ca11d00d23	1	0.033145999999999995
5a9e77571d64c3be6a7cc578e08f9221	1	1.462207
5b07b1f9477dcbaec795e07cc0dd27e6	1	0.170234
5b95c4560c2cdff91bbf9369d975169c	1	0.617534
5bba89c7b61216f536106f3ba877d786	2	0.422271
5bfa4552a368a57751c8ceb9d4ce1948	1	0.37135799999999997
5c5ced5eab48318434e348c8fa3edb62	1	0.288602
5d0436d293afd22182921b4cb0473119	2	0.21058600000000002
5d0452f59e9a3f175a766c6fea57c67c	2	0.14597100000000002
5d2ecb3588ca9b69d0dedb0a5a1b2fe5	2	0.724375
5d6830ceb6ff62175bf27c281fc86a36	1	0.524637
5e160fcb069f0ac9410412d37fae88e0	2	0.20848000000000003
5e7caeb5863a84bbf07219b0074431c8	1	1.1192520000000001
5edf532036eebd3ff595117346a421ed	1	0.061466
5f191c7f9319a72f28f752cf7a722af9	1	0.193088
5f718a7650aee473627dd8b87cddba0a	1	0.063374
5f868e1bce0f81c2906457605dafc569	1	0.16544
5fc707bcb5b29f19ad1c97279731ce60	2	0.13439600000000002
5fe97f79377ed67388c2db68125c369a	1	0.32992
602689442a49f4a6ac7b31fc389f451f	1	0.393104
617799238d6631e7a09b2f71b6086b20	1	0.14457899999999999
61ebca53f5a21b917d6c364ff652e031	1	0.060333000000000005
6239f5366759a3186084341c500a21c0	2	0.240056
6272de1fc431e7e8158a31fa4dfbbb15	1	0.012123
63d93aa30b319d9d9075c02564a2edb6	1	0.939124
63db493bc31bf963dd021250507c8180	1	0.144296
64b28b29d82b4a13a6ac5ffb24358d38	1	0.068742
64c493c9e065704efc127ad6dc4f8af7	1	7.4100660000000005
65d43491988bfe557da4d86a5ba25dae	1	0.000105
65d7d4c2b845f38c64f5c560b23c2717	1	0.537826
65d8eb0e5bf45db9a397fc4978b7eca7	1	0.10654200000000001
65e09736eb52db5903c450fd5a1c31f0	1	0.330916
65ed3751924cc3f39c4afc47aeb41da3	1	0.223162
660b9c56cf0727171a6ad97ee11b014c	1	0.502158
6616dc3bd6aeb3e26b9b2218290ea574	1	0.047462
661f3940d17c61143828e2b535cc7835	1	0.277779
667e4d0e3e21b20fe01b66fee21c1ff0	1	0.48323299999999997
66db8b6081762555854c12ffc9c57ce4	1	0.49310699999999996
6720b02b5f038d4066030519eed9ebc8	1	0.329875
67826f9bf05d208eed64d88a42cff906	1	0.212223
67a7b837be19443f636c2772b084b4b1	1	0.568749
67b0cf6af26b9fd959d860a52a65bc58	1	0.012251
67c85c216db5fc0a57a5868d62d3a8f2	1	0.293941
67d1f6a21cc9c809a69c93a5f1b32766	10	58.097984
67d66fd29bb17e7f1c6e592d8e903c96	1	0.021943999999999998
68092fec0d91fa279a0fe9f2b6070533	1	0.06126
680d3e9a6c336d0da6f11b992eed32f8	1	0.589427
6825e37530eaaff6fa856e922642d560	1	0.532183
68306cd3f54ecb4326ef741dab10b86d	10	6.7667720000000005
685ab1f4b3f21e9e4a095e9a72192d0e	1	0.760884
68601e03e831382d880988fba9ef036e	2	0.42862
68b9ce06fc98f29759c01b03263a5d67	1	0.012655
68e85eaea8d94f9ed998baa7061f7af3	1	0.171767
6909d6f387c8ae75b5120a4ee4bb90c3	5	0.14375
69dd6d1149414afa9e66d169e62c1f44	1	0.29454600000000003
6aaac37f56d07ffcea4fe9ef1cd00d2f	1	0.00015
6ae1ccd3e49fdb34156a22fdd15fc4bd	2	0.106011
6b55495b3a198ef79b85a56d48db1ab2	1	0.273878
6c84e1d3dd87eb6c5f7925c54f654305	1	0.23387600000000003
6c9252bf4d6cad95ab4707a460577f2b	1	0.37754899999999997
6cb1546122897c58237814d5b617f494	1	0.254349
6cb78676934d624d83f7293afd990b78	1	0.208668
6d5125657f968c2fa0c9a38df0299856	1	0.6631640000000001
6d6bcc275e99d76c5dea3c4d7effd0de	1	0.7491869999999999
6dbae25a431b48a6080ab0b0245251e3	1	0.496775
6dd60e99abaff1597b0a368cfa2738f6	1	1.165325
6e0f21beba4fceae378d9efbabf9083c	1	0.050006
6e33c78010c28e8e26262e97fe5fb6fa	1	0.188113
6e42b3359eaae430c7784782de0bedb2	1	0.330466
6e5afd0e91ef6639f35e7a8cddebfa77	1	0.7330979999999999
6e63325e1d64c8f7cc135831757b844a	1	0.691425
6e94b0651f50679ee938d16915b95087	1	0.20289000000000001
6ee58127f804557f90c48e9422afe5ba	1	0.307622
6f0f334559b46cf61fee58c4ffa12c7d	1	0.467383
6f6901a14b784fc274f12d8f654ca64e	1	0.345263
6f6f1d157c6486929b88925369f15105	1	0.127065
6f71e4c50549994ff9f52552cb6da073	7	0.060057000000000006
70dda0dc3adb1168bbda002daec1d593	1	0.23081500000000002
710b9b569ff47d1cb85a3f1fc20a306e	1	0.262112
7139335b3e1b773ac98ca57007d0be12	2	0.022113
71f0b9e01f65212efe1a5aa99b67936e	1	0.394975
71f80f9c7217229d119b120c15f2f913	1	0.18248699999999998
72294178aa1b28b6296870c5eafa24e0	4	0.00015
7243e728fc01f0800d167b0bff079fd3	1	0.21796999999999997
729833d6acec1576dda09a91d2cb8922	1	0.3005
73607a0ef2bd34ea8c3bab8b3d05c7e8	1	0.452701
73b4d31a6f8da3205778bbd68650f738	1	0.112943
73d4322dc9a0a7e64732df04f0767d28	1	0.535572
7416043900bbb39ca1180c28408f98c9	2	0.22107399999999996
747ba5c2fd3e70c6c2c2391d6e3033e8	1	0.41230900000000004
7493d1aedb2c77d663590d82ec640fd4	1	0.020056
74dac7926f8fa89a1c7360f52c14e3c6	8	0.011635
75076f8d142930dbfa8b4faeb5e03fda	1	0.325574
779717ce722ecc46b59eebb8223c6eef	1	0.691232
779f879899163b7a49e0179a018b20a8	1	0.144151
786e44291f5c2019f45091dfe4fe97b0	1	0.096934
78b6368ee4c7690ecd30112401b3bedd	3	0.022259
78db7fa6b16b73b101fbb8b282b5330e	1	0.030297
7911816f5e81f650f769aba0d5c708cb	1	0.014177
793db5586ce95d9cde6b3d0093069d9d	7	0.11001199999999998
79448d7f8c62fd4c1ca10f858a007499	1	0.766309
796367f663616f301769fdb76d2b700a	1	0.37403200000000003
79782755a18c72d86cf07428121c811d	1	0.069906
79aa7745bbec2962a7c395d5e35b400e	1	0.529544
79d58890a2f314d76248e01cc1e5516d	1	0.319062
7a686276ebeb594d32ec006215351152	4	0.446478
7a6f88da04c30ea567459b2485c22cef	1	0.100208
7ac44c9714136cb55cd84efb374c3f4d	1	0.277713
7b80ba3c1db97a3d8b4ab17896e4008b	1	0.336782
7ba9878bdb13204acd3e844d680aa300	1	0.547097
7c2578e0a2e9c89ec9a45d35201b0364	1	0.32119699999999995
7c25a317e9b0eca0e91b26d466981c43	1	0.277462
7c42e392c9e68e6de5e7edae24aa89c2	1	0.620125
7c4adf0c3081967b549d55e7d0883eec	1	0.311481
7cbf1472ea240da14c5f9fe6a26c5488	1	0.044525999999999996
7d2e483d4df58d353aab21042ef64788	1	0.589589
7d8771be6307597f7eb6a235f37c8a23	1	0.21796999999999997
7ddcd8ebdc99d1ce9af6677353915944	1	0.046462
7e28e13acc51011f35830fdff71c3e1e	1	0.889107
7fb90deff7e4c9d723398463bac7c595	1	0.009170000000000001
80b32a87fb0f95908a84d14558edcc72	2	0.212808
80b90b16d4654b38071bf28504d29f5c	1	0.37506100000000003
80e4864d206aac196f534daee8dc81e1	3	0.240971
81a543aefd4e44ac05c59c58958bf53f	4	0.084855
8227c7bbef71c265dadd57ad3c51fd12	1	0.274401
826b7c3c5ee5a4c48d89f3042b67d4a2	1	0.029460000000000004
82dd7fa93d8972829c5c7137416f9b2e	10	6.076357
836be0e112c941cc135163482d78de44	2	0.116374
8397c4a762534a024eca997555699e1b	1	0.06753200000000001
83ab493daf271d64467adea6006914d0	1	0.536961
8436ebc964ff1d924b25febb74d709c8	1	0.519155
8456786ff551bbc78ec763f011b88b89	1	0.165653
8535972a62604defb47b5bd511e2f8ee	1	0.237992
856aa1e5a457ef5b62c6f1dcfc35cdd0	1	0.16048900000000002
868e0165fe32a8925b7f20afa5e1dbfc	1	0.054166
86f63e39a4dcc396cb0e3426c1581ec7	1	0.09261799999999999
870b966a0883d385cc94811f3aa203bf	1	0.20289000000000001
87a1c9af8d96350caa3ef6123a62d22a	1	0.295385
87a8619395aeb9df862f65830a1f599b	1	0.22426100000000002
87d963f32e90ea150761b99a2c6a01a6	1	0.16401
880be4cc5c758f86bf6e4df2118575a6	1	0.246825
885c2e25906db72af16e2901b5aff5a7	1	0.11981099999999999
88a0fe73ab9b909a4c5a2ba0ac94ed5a	1	0.277253
88bf84718d57511ec5100976bbdcf65f	1	0.03821
88d23204e93d522f83bf0e8b3c264b2a	1	0.6280680000000001
892ee555914f8be1ba64a09d08156815	1	0.570779
8931f272bf7372d878da26f0238f91a7	1	0.21796999999999997
89d397072a79593892357b402f75f1c8	1	0.745082
8a23f4d25122458452a8fdc5b988dfc8	1	0.017079
8a2be83c9724897b972119512337b0ab	1	0.44304
8a8ba7971e0e4cc5ace6075d947eb410	1	0.31440500000000005
8ade708ae50b3e1ba51d4921a2e6f9ca	1	0.199023
8b68d7ac37db3af4c7e4ff1d820fc947	1	0.595327
8c6c5d3f7d542f065f056fc05b1a7f8f	4	0.502972
8c78ab6d2558bcccdfb6767cd7f5e99e	1	0.381615
8ca1e69dc8b2a7af5b9069113c13255d	1	0.376969
8cb4ccd83cb9625c4d095d86751ca598	1	0.044969
8ce12e88f6b59bb09494567f0d678092	1	0.031354
8d703908c09c7cb0da2a4398dd74f9f8	4	0.050676
8da60f36beedf1109ab00ef120e210af	1	0.353554
8dc2f6816d0be45c11a98cd3f58fc58b	1	0.212234
8e175abe6a746b8f33bae9cd7c8192bb	1	0.012242
